#ipl z nelem cellwidth spacing xoffset scalex x0 x1 x2 costheta scaley y0 y1 y2 sintheta resolution p1x p1y p1z deltapx deltapy deltapz dp1x dp1y dp1z
1 646.791 201 0.635 0.635 0.159 101.6 1.016 -49.784 51.816 0.970124 121.92 2.672 -58.288 63.632 0.242609 0.064 -49.0448 -58.2961 647.179 -30.4891 121.918 0.121794 0.654527 5.23621e-05 -0.0045006
2 647.426 201 0.635 0.635 -0.159 101.6 1.016 -49.784 51.816 0.970124 121.92 2.672 -58.288 63.632 0.242609 0.064 -49.359 -58.2928 647.816 -30.4891 121.918 0.121794 0.654527 5.23621e-05 -0.0045006
3 625.043 160 0.635 0.635 0.159 101.6 0.884 -49.916 51.684 1 121.92 2.771 -58.189 63.731 -9e-05 0.064 -49.4378 -58.1792 624.44 0.0174363 121.909 1.60928 0.634995 -5.71495e-05 -0.00255079
4 624.408 160 0.635 0.635 -0.159 101.6 0.884 -49.916 51.684 1 121.92 2.771 -58.189 63.731 -9e-05 0.064 -49.7558 -58.1791 623.807 0.0174363 121.909 1.60928 0.634995 -5.71495e-05 -0.00255079
5 600.71 201 0.635 0.635 0.159 101.6 0.635 -50.165 51.435 0.970847 121.92 2.982 -57.978 63.942 -0.2397 0.064 -79.7214 -58.2105 601.373 30.1207 122.008 -0.614525 0.65453 0.00190927 -0.003562
6 601.345 201 0.635 0.635 -0.159 101.6 0.635 -50.165 51.435 0.970847 121.92 2.982 -57.978 63.942 -0.2397 0.064 -80.0492 -58.2115 602.009 30.1207 122.008 -0.614525 0.65453 0.00190927 -0.003562
7 688.614 384 0.5 0.5 0 152.4 0.349 -75.851 76.549 0.970595 137.16 -0.173 -68.753 68.407 -0.240717 0.064 -115.364 -68.9695 688.833 34.0329 137.224 -0.0233158 0.515386 0.000963772 -0.00108231
8 689.214 384 0.5 0.5 -0.25 152.4 0.349 -75.851 76.549 0.970595 137.16 -0.173 -68.753 68.407 -0.240717 0.064 -115.621 -68.97 689.433 34.0329 137.224 -0.0233158 0.515386 0.000963772 -0.00108231
9 689.814 320 0.5 0.5 0 152.4 0.349 -75.851 76.549 0.999998 137.16 -0.173 -68.753 68.407 0.00187 0.064 -79.2725 -68.902 689.957 -0.256386 137.16 0.0486917 0.499998 0.000934997 -0.00105
10 690.414 320 0.5 0.5 -0.25 152.4 0.349 -75.851 76.549 0.999998 137.16 -0.173 -68.753 68.407 0.00187 0.064 -79.5225 -68.9025 690.558 -0.256386 137.16 0.0486917 0.499998 0.000934997 -0.00105
11 691.014 384 0.5 0.5 0 152.4 0.349 -75.851 76.549 0.969688 137.16 -0.173 -68.753 68.407 0.244345 0.064 -81.0745 -68.9054 691.161 -34.5457 137.095 0.1207 0.515386 0.000963772 -0.00108231
12 691.614 384 0.5 0.5 -0.25 152.4 0.349 -75.851 76.549 0.969688 137.16 -0.173 -68.753 68.407 0.244345 0.064 -81.3322 -68.9059 691.761 -34.5457 137.095 0.1207 0.515386 0.000963772 -0.00108231
